,index,size,isEmpty,peek_obj_type,calledMethod,pushInput,size_p,isEmpty_p,peek_obj_type_p,calledMethod_p,diff,testId,instanceId,Matched_LHS,RuleMatched_LHS,Matched,RuleMatched,Violated,RuleViolated
26,62,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Float""","calledMethod == ""push""","pushInput == ""class java.lang.Long""","size_p == ""1""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Float""","calledMethod_p == ""push""",Yes,1597044274451:3be66e4d-792e-4a8d-aabe-53c3f44819ba,1597044274451:0cc1ce30-40c7-4222-a06c-f0133bfe68d3,3,"['52', '56', '294']",7,"['163', '164', '209', '349', '469', '514', '519']",3,"['52', '56', '294']"
27,70,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Float""","calledMethod == ""push""","pushInput == ""class experiment.drivers.AlejaStackTestDriver""","size_p == ""2""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Float""","calledMethod_p == ""pop""",Yes,1597044274449:9f04d197-ab7a-481d-a68d-230fb9f01272,1597044274450:535fea68-64ab-4d20-a012-aa80abd9b8e8,3,"['52', '56', '294']",3,"['209', '349', '514']",3,"['52', '56', '294']"
28,71,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Float""","calledMethod == ""push""","pushInput == ""class java.lang.Object""","size_p == ""2""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Float""","calledMethod_p == ""pop""",Yes,1597044274449:9f04d197-ab7a-481d-a68d-230fb9f01272,1597044274450:535fea68-64ab-4d20-a012-aa80abd9b8e8,3,"['52', '56', '294']",3,"['209', '349', '514']",3,"['52', '56', '294']"
29,72,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Float""","calledMethod == ""push""","pushInput == ""class java.lang.Class""","size_p == ""2""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Short""","calledMethod_p == ""push""",Yes,1597044274448:6fbaa2a1-1ce7-4e5f-8da7-f1ebf5f92210,1597044274448:b0e31cd5-69ba-43a6-a845-79c8fbb7725b,3,"['52', '56', '294']",5,"['164', '209', '349', '514', '519']",3,"['52', '56', '294']"
30,73,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.String""","calledMethod == ""push""","pushInput == ""class experiment.drivers.AlejaStackTestDriver""","size_p == ""1""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.String""","calledMethod_p == ""push""",Yes,1597044274448:6fbaa2a1-1ce7-4e5f-8da7-f1ebf5f92210,1597044274448:908ab386-d2cc-4a71-a761-788854014c48,0,,5,"['163', '164', '349', '469', '519']",0,
31,74,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","calledMethod == ""push""","pushInput == ""class java.lang.Byte""","size_p == ""2""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Float""","calledMethod_p == ""push""",Yes,1597044274448:6fbaa2a1-1ce7-4e5f-8da7-f1ebf5f92210,1597044274448:05a3a965-2eb0-4bbb-90cf-ca32c04850c1,0,,3,"['164', '349', '519']",0,
32,75,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Byte""","calledMethod == ""push""","pushInput == ""class java.lang.Class""","size_p == ""3""","isEmpty_p == ""False""","peek_obj_type_p == ""class experiment.drivers.AlejaStackTestDriver""","calledMethod_p == ""push""",Yes,1597044274448:6fbaa2a1-1ce7-4e5f-8da7-f1ebf5f92210,1597044274448:05a3a965-2eb0-4bbb-90cf-ca32c04850c1,0,,3,"['164', '349', '519']",0,
33,76,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","calledMethod == ""pop""","pushInput == ""none""","size_p == ""4""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Byte""","calledMethod_p == ""push""",Yes,1597044274448:6fbaa2a1-1ce7-4e5f-8da7-f1ebf5f92210,1597044274448:05a3a965-2eb0-4bbb-90cf-ca32c04850c1,0,,10,"['164', '195', '322', '519', '565', '616', '617', '618', '645', '653']",0,
34,77,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Float""","calledMethod == ""pop""","pushInput == ""none""","size_p == ""3""","isEmpty_p == ""False""","peek_obj_type_p == ""class experiment.drivers.AlejaStackTestDriver""","calledMethod_p == ""pop""",Yes,1597044274448:6fbaa2a1-1ce7-4e5f-8da7-f1ebf5f92210,1597044274448:05a3a965-2eb0-4bbb-90cf-ca32c04850c1,0,,3,"['195', '209', '322']",0,
35,78,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Byte""","calledMethod == ""push""","pushInput == ""class java.lang.Boolean""","size_p == ""1""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Byte""","calledMethod_p == ""push""",Yes,1597044274448:116eea75-fd48-482f-9b93-b0b7c3df67a9,1597044274449:c9e6a903-5ad6-419e-86b9-eacc343018e6,0,,5,"['163', '164', '349', '469', '519']",0,
36,83,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Long""","calledMethod == ""push""","pushInput == ""class java.lang.Byte""","size_p == ""1""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Long""","calledMethod_p == ""pop""",Yes,1597044274447:640d096f-3855-4cc3-87de-f32858603364,1597044274448:ce3ce391-1bc4-4c24-88ba-8d00486ac1b8,0,,2,"['349', '469']",0,
37,85,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Boolean""","calledMethod == ""push""","pushInput == ""class java.lang.Long""","size_p == ""2""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Long""","calledMethod_p == ""push""",Yes,1597044274447:640d096f-3855-4cc3-87de-f32858603364,1597044274447:fb9fd54a-745f-44f8-a95d-b62235987f5f,0,,3,"['164', '349', '519']",0,
38,86,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Short""","calledMethod == ""push""","pushInput == ""class java.lang.Double""","size_p == ""1""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Short""","calledMethod_p == ""push""",Yes,1597044274447:640d096f-3855-4cc3-87de-f32858603364,1597044274447:4dc7d0b7-39cc-4fdb-95c6-e107fbef078e,0,,5,"['163', '164', '349', '469', '519']",0,
39,87,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Double""","calledMethod == ""push""","pushInput == ""class java.lang.Boolean""","size_p == ""2""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Short""","calledMethod_p == ""push""",Yes,1597044274447:640d096f-3855-4cc3-87de-f32858603364,1597044274447:4dc7d0b7-39cc-4fdb-95c6-e107fbef078e,0,,3,"['164', '349', '519']",0,
40,88,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Boolean""","calledMethod == ""push""","pushInput == ""class experiment.drivers.AlejaStackTestDriver""","size_p == ""3""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Double""","calledMethod_p == ""push""",Yes,1597044274447:640d096f-3855-4cc3-87de-f32858603364,1597044274447:4dc7d0b7-39cc-4fdb-95c6-e107fbef078e,0,,3,"['164', '349', '519']",0,
41,91,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Float""","calledMethod == ""push""","pushInput == ""class java.lang.Class""","size_p == ""2""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Float""","calledMethod_p == ""pop""",Yes,1597044274447:556fac5a-643f-49b9-9e3e-079b134dbeed,1597044274447:e3dc933d-2fc3-4f96-bd7e-cfafcc06364a,3,"['52', '56', '294']",3,"['209', '349', '514']",3,"['52', '56', '294']"
42,92,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Class""","calledMethod == ""push""","pushInput == ""class java.lang.Boolean""","size_p == ""3""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Float""","calledMethod_p == ""push""",Yes,1597044274447:556fac5a-643f-49b9-9e3e-079b134dbeed,1597044274447:e3dc933d-2fc3-4f96-bd7e-cfafcc06364a,0,,3,"['164', '349', '519']",0,
43,93,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Float""","calledMethod == ""pop""","pushInput == ""none""","size_p == ""4""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Class""","calledMethod_p == ""push""",Yes,1597044274447:556fac5a-643f-49b9-9e3e-079b134dbeed,1597044274447:e3dc933d-2fc3-4f96-bd7e-cfafcc06364a,0,,11,"['164', '195', '209', '322', '519', '565', '616', '617', '618', '645', '653']",0,
44,95,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Long""","calledMethod == ""push""","pushInput == ""class experiment.drivers.AlejaStackTestDriver""","size_p == ""1""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Long""","calledMethod_p == ""push""",Yes,1597044274446:e302c9ab-6340-4369-ae1b-1a8724c8f1cd,1597044274446:ad62035f-c2c5-4346-8928-dc20a9c6eda7,0,,5,"['163', '164', '349', '469', '519']",0,
45,97,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Float""","calledMethod == ""push""","pushInput == ""class experiment.drivers.AlejaStackTestDriver""","size_p == ""2""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Short""","calledMethod_p == ""push""",Yes,1597044274446:e302c9ab-6340-4369-ae1b-1a8724c8f1cd,1597044274446:5b30e01f-fac0-428e-b6b3-c3c290de5079,3,"['52', '56', '294']",5,"['164', '209', '349', '514', '519']",3,"['52', '56', '294']"
46,98,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Float""","calledMethod == ""push""","pushInput == ""class java.lang.Integer""","size_p == ""1""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Float""","calledMethod_p == ""push""",Yes,1597044274446:0223dd22-19ff-4e5e-9e00-b4f48a975708,1597044274446:4891fe3d-50a9-48a6-9766-ceadb9120288,3,"['52', '56', '294']",7,"['163', '164', '209', '349', '469', '514', '519']",3,"['52', '56', '294']"
47,104,"size == ""2""","isEmpty == ""False""","peek_obj_type == ""class java.lang.String""","calledMethod == ""push""","pushInput == ""class java.lang.Long""","size_p == ""1""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.String""","calledMethod_p == ""push""",Yes,1597044274443:01004c57-6771-4545-b036-6ad9524d99a8,1597044274443:5ff97d9d-e716-4ae3-a27d-0365b8d28274,0,,5,"['163', '164', '349', '469', '519']",0,
48,105,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Long""","calledMethod == ""push""","pushInput == ""class java.lang.Integer""","size_p == ""2""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.String""","calledMethod_p == ""push""",Yes,1597044274443:01004c57-6771-4545-b036-6ad9524d99a8,1597044274443:5ff97d9d-e716-4ae3-a27d-0365b8d28274,0,,3,"['164', '349', '519']",0,
49,106,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Integer""","calledMethod == ""push""","pushInput == ""class experiment.drivers.AlejaStackTestDriver""","size_p == ""3""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Long""","calledMethod_p == ""push""",Yes,1597044274443:01004c57-6771-4545-b036-6ad9524d99a8,1597044274443:5ff97d9d-e716-4ae3-a27d-0365b8d28274,0,,3,"['164', '349', '519']",0,
50,108,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Boolean""","calledMethod == ""push""","pushInput == ""class java.lang.Class""","size_p == ""2""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Long""","calledMethod_p == ""push""",Yes,1597044274442:730e3d52-ec11-49ac-bf7a-6b970f287a14,1597044274442:6fd750f4-8cb2-46c0-bee1-07f297c96efe,0,,3,"['164', '349', '519']",0,
51,112,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Float""","calledMethod == ""push""","pushInput == ""class java.lang.Boolean""","size_p == ""2""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Float""","calledMethod_p == ""pop""",Yes,1597044274440:87cbf5ce-297c-4eba-ada5-9755247e41b3,1597044274441:ed358c14-e5c7-4e85-a67d-c75ee9913d61,3,"['52', '56', '294']",3,"['209', '349', '514']",3,"['52', '56', '294']"
52,113,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Double""","calledMethod == ""push""","pushInput == ""class java.lang.Class""","size_p == ""2""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Short""","calledMethod_p == ""push""",Yes,1597044274440:87cbf5ce-297c-4eba-ada5-9755247e41b3,1597044274441:5bfc3661-e060-4608-88b9-014c6917bac4,0,,3,"['164', '349', '519']",0,
53,114,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Long""","calledMethod == ""push""","pushInput == ""class experiment.drivers.AlejaStackTestDriver""","size_p == ""2""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Float""","calledMethod_p == ""push""",Yes,1597044274440:87cbf5ce-297c-4eba-ada5-9755247e41b3,1597044274441:521fcc3f-cdda-4057-9579-069c669d7417,0,,3,"['164', '349', '519']",0,
54,115,"size == ""3""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","calledMethod == ""push""","pushInput == ""class java.lang.Class""","size_p == ""2""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Float""","calledMethod_p == ""push""",Yes,1597044274440:87cbf5ce-297c-4eba-ada5-9755247e41b3,1597044274441:520a80db-242e-406b-b0a1-648d21a715fb,0,,3,"['164', '349', '519']",0,
55,119,"size == ""4""","isEmpty == ""False""","peek_obj_type == ""class experiment.drivers.AlejaStackTestDriver""","calledMethod == ""push""","pushInput == ""class java.lang.Short""","size_p == ""3""","isEmpty_p == ""False""","peek_obj_type_p == ""class java.lang.Float""","calledMethod_p == ""push""",Yes,1597044274439:b941ad9f-8f0f-4ee2-9475-07133bb7caab,1597044274439:383fd359-ce07-453a-9ccd-7abf9177716e,0,,3,"['164', '349', '519']",0,
56,120,"size == ""5""","isEmpty == ""False""","peek_obj_type == ""class java.lang.Short""","calledMethod == ""push""","pushInput == ""class experiment.drivers.AlejaStackTestDriver""","size_p == ""4""","isEmpty_p == ""False""","peek_obj_type_p == ""class experiment.drivers.AlejaStackTestDriver""","calledMethod_p == ""push""",Yes,1597044274439:b941ad9f-8f0f-4ee2-9475-07133bb7caab,1597044274439:383fd359-ce07-453a-9ccd-7abf9177716e,0,,3,"['164', '349', '519']",0,
